date,hospital_id,dow,weekend,month,holiday,temp_c,rain_mm,flu_index,trauma_cases,scheduled_surgeries,donation_campaign,supply_shock,blood_type,stock_start,units_collected,units_used,wastage,stock_end,critical_stock,stockout_next_day,heavy_demand,heavy_demand_next_day,days_until_stockout,net_change,units_used_lag1,units_used_lag7,units_used_lag30,units_collected_lag1,units_collected_lag7,units_collected_lag30,stock_start_lag1,stock_start_lag7,stock_start_lag30,units_used_roll7_mean,units_used_roll30_mean,units_used_roll7_std,units_used_roll30_std,units_collected_roll7_mean,units_collected_roll30_mean,units_collected_roll7_std,units_collected_roll30_std,cover_days,usage_trend_7d,usage_trend_30d,surgeries_per_stock,trauma_per_stock,demand_pressure,stockout_lag1,stockout_lag7,stockout_roll7_sum
2020-01-02,Central,0,0,1,0,20.15036970744323,3.5214020367416734,0.6978033070939224,4,24,0,0,A+,58,5,6,0,57,0,0,0,0,18.0,-1,11.0,,,3.0,,,67.0,,,11.0,11.0,,,3.0,3.0,,,5.272726793388474,,,0.4067796610169492,0.06779661016949153,0.4745762711864407,0.0,,0.0
2020-01-03,Central,1,0,1,0,19.39663739399373,2.5064519839508304,0.6492783538060396,3,25,0,0,A+,57,6,8,0,55,0,0,0,0,17.0,-2,6.0,,,5.0,,,58.0,,,8.5,8.5,3.5355339059327378,3.5355339059327378,4.0,4.0,1.4142135623730951,1.4142135623730951,6.705881564013934,,,0.43103448275862066,0.05172413793103448,0.4827586206896552,0.0,,0.0
2020-01-04,Central,2,0,1,0,17.622055341942772,6.685825448014527,0.6185729058453375,4,23,0,0,A+,55,6,8,0,53,0,0,0,0,16.0,-2,8.0,,,6.0,,,57.0,,,8.333333333333334,8.333333333333334,2.5166114784235836,2.5166114784235836,4.666666666666667,4.666666666666667,1.5275252316519465,1.5275252316519465,6.599999208000095,,,0.4107142857142857,0.07142857142857142,0.48214285714285715,0.0,,0.0
2020-01-05,Central,3,0,1,0,17.044359284451495,3.075571352162873,0.5488897721405326,2,26,0,0,A+,53,4,6,2,49,0,0,0,0,15.0,-4,8.0,,,6.0,,,55.0,,,8.25,8.25,2.0615528128088303,2.0615528128088303,5.0,5.0,1.414213562373095,1.414213562373095,6.424241645546468,,,0.48148148148148145,0.037037037037037035,0.5185185185185185,0.0,,0.0
2020-01-06,Central,4,0,1,0,21.231133695107943,6.916749560660052,0.663467778815994,2,22,0,0,A+,49,3,5,1,46,0,0,0,0,14.0,-3,6.0,,,4.0,,,53.0,,,7.8,7.8,2.04939015319192,2.04939015319192,4.8,4.8,1.3038404810405297,1.3038404810405297,6.282050476660196,,,0.44,0.04,0.48,0.0,,0.0
2020-01-07,Central,5,1,1,0,18.662378606454777,6.444953447922637,0.6552388283254215,6,9,0,0,A+,46,1,9,0,38,0,0,0,0,13.0,-8,5.0,,,3.0,,,49.0,,,7.333333333333333,7.333333333333333,2.1602468994692865,2.1602468994692865,4.5,4.5,1.378404875209022,1.378404875209022,6.272726417355488,,,0.19148936170212766,0.1276595744680851,0.3191489361702128,0.0,,0.0
2020-01-08,Central,6,1,1,0,19.923977381946,4.248770250599729,0.6357224940823956,5,6,0,0,A+,38,5,7,0,36,0,0,0,1,12.0,-2,9.0,11.0,,1.0,3.0,,46.0,67.0,,7.571428571428571,7.571428571428571,2.0701966780270626,2.0701966780270626,4.0,4.0,1.8257418583505538,1.8257418583505538,5.018867261659041,-3.428571428571429,,0.15384615384615385,0.1282051282051282,0.28205128205128205,0.0,0.0,0.0
2020-01-09,Central,0,0,1,0,18.96993474210136,2.8944684650024803,0.5714988823150859,3,22,0,0,A+,36,4,11,0,29,0,0,1,0,11.0,-7,7.0,6.0,,5.0,5.0,,38.0,58.0,,7.0,7.5,1.4142135623730951,1.927248223318863,4.285714285714286,4.125,1.7994708216848745,1.7268882005337975,5.14285640816337,1.0,,0.5945945945945946,0.08108108108108109,0.6756756756756757,0.0,0.0,0.0
2020-01-10,Central,1,0,1,0,22.45547558574624,5.193902160307664,0.4843153716489236,6,23,1,0,A+,29,10,3,0,36,0,0,0,0,10.0,7,11.0,8.0,,4.0,6.0,,36.0,57.0,,7.714285714285714,7.888888888888889,1.9760470401187071,2.1473497877875207,4.142857142857143,4.111111111111111,1.7728105208558365,1.6158932858054431,3.7592587719479367,-0.2857142857142856,,0.7666666666666667,0.2,0.9666666666666667,0.0,0.0,0.0
2020-01-11,Central,2,0,1,0,23.592573455680824,5.7461120928187865,0.5048989556541719,5,18,0,0,A+,36,2,9,0,29,0,0,0,0,9.0,-7,3.0,8.0,,10.0,6.0,,29.0,55.0,,7.0,7.4,2.6457513110645907,2.5473297566057065,4.714285714285714,4.7,2.811540841738193,2.406010991015812,5.14285640816337,-1.0,,0.4864864864864865,0.13513513513513514,0.6216216216216216,0.0,0.0,0.0
